endpoint1,endpoint2,step,time_index,time,formant,frequency
w01aw,w01iy,2,17,0.276,3,2869
w01aw,w01iy,2,18,0.287,1,722
w01aw,w01iy,2,18,0.287,2,1564
w01aw,w01iy,2,18,0.287,3,2883
w01aw,w01iy,2,19,0.299,1,723
w01aw,w01iy,2,19,0.299,2,1583
w01aw,w01iy,2,19,0.299,3,2891
w01aw,w01iy,2,20,0.31,1,727
w01aw,w01iy,2,20,0.31,2,1616
w01aw,w01iy,2,20,0.31,3,2908
w01aw,w01iy,2,21,0.322,1,735
w01aw,w01iy,2,21,0.322,2,1684
w01aw,w01iy,2,21,0.322,3,2883
w01aw,w01iy,2,22,0.333,1,734
w01aw,w01iy,2,22,0.333,2,1721
w01aw,w01iy,2,22,0.333,3,2809
w01aw,w01iy,2,23,0.345,1,727
w01aw,w01iy,2,23,0.345,2,1754
w01aw,w01iy,2,23,0.345,3,2793
w01aw,w01iy,2,24,0.356,1,711
w01aw,w01iy,2,24,0.356,2,1787
w01aw,w01iy,2,24,0.356,3,2794
w01aw,w01iy,2,25,0.368,1,681
w01aw,w01iy,2,25,0.368,2,1824
w01aw,w01iy,2,25,0.368,3,2815
w01aw,w01iy,2,26,0.379,1,644
w01aw,w01iy,2,26,0.379,2,1849
w01aw,w01iy,2,26,0.379,3,2806
w01aw,w01iy,2,27,0.391,1,614
w01aw,w01iy,2,27,0.391,2,1885
w01aw,w01iy,2,27,0.391,3,2805
w01aw,w01iy,2,28,0.402,1,564
w01aw,w01iy,2,28,0.402,2,2053
w01aw,w01iy,2,28,0.402,3,2829
w01aw,w01iy,2,29,0.414,1,493
w01aw,w01iy,2,29,0.414,2,2114
w01aw,w01iy,2,29,0.414,3,2878
w01aw,w01iy,2,30,0.425,1,457
w01aw,w01iy,2,30,0.425,2,2084
w01aw,w01iy,2,30,0.425,3,2898
w01aw,w01iy,3,1,0.092,1,535
w01aw,w01iy,3,1,0.092,2,1772
w01aw,w01iy,3,1,0.092,3,2743
w01aw,w01iy,3,2,0.104,1,559
w01aw,w01iy,3,2,0.104,2,1778
w01aw,w01iy,3,2,0.104,3,2753
w01aw,w01iy,3,3,0.115,1,600
w01aw,w01iy,3,3,0.115,2,1809
w01aw,w01iy,3,3,0.115,3,2777
w01aw,w01iy,3,4,0.127,1,622
w01aw,w01iy,3,4,0.127,2,1840
w01aw,w01iy,3,4,0.127,3,2795
w01aw,w01iy,3,5,0.138,1,633
w01aw,w01iy,3,5,0.138,2,1847
w01aw,w01iy,3,5,0.138,3,2807
w01aw,w01iy,3,6,0.15,1,636
w01aw,w01iy,3,6,0.15,2,1853
w01aw,w01iy,3,6,0.15,3,2805
w01aw,w01iy,3,7,0.161,1,629
w01aw,w01iy,3,7,0.161,2,1863
w01aw,w01iy,3,7,0.161,3,2815
w01aw,w01iy,3,8,0.173,1,624
w01aw,w01iy,3,8,0.173,2,1867
w01aw,w01iy,3,8,0.173,3,2826
w01aw,w01iy,3,9,0.184,1,623
w01aw,w01iy,3,9,0.184,2,1860
w01aw,w01iy,3,9,0.184,3,2822
w01aw,w01iy,3,10,0.196,1,621
w01aw,w01iy,3,10,0.196,2,1853
w01aw,w01iy,3,10,0.196,3,2822
w01aw,w01iy,3,11,0.207,1,620
w01aw,w01iy,3,11,0.207,2,1849
w01aw,w01iy,3,11,0.207,3,2828
w01aw,w01iy,3,12,0.219,1,623
w01aw,w01iy,3,12,0.219,2,1855
w01aw,w01iy,3,12,0.219,3,2834
w01aw,w01iy,3,13,0.23,1,624
w01aw,w01iy,3,13,0.23,2,1862
w01aw,w01iy,3,13,0.23,3,2838
w01aw,w01iy,3,14,0.242,1,624
w01aw,w01iy,3,14,0.242,2,1865
w01aw,w01iy,3,14,0.242,3,2845
w01aw,w01iy,3,15,0.253,1,624
w01aw,w01iy,3,15,0.253,2,1866
w01aw,w01iy,3,15,0.253,3,2855
w01aw,w01iy,3,16,0.264,1,626
w01aw,w01iy,3,16,0.264,2,1874
w01aw,w01iy,3,16,0.264,3,2861
w01aw,w01iy,3,17,0.276,1,628
w01aw,w01iy,3,17,0.276,2,1887
w01aw,w01iy,3,17,0.276,3,2869
w01aw,w01iy,3,18,0.287,1,627
w01aw,w01iy,3,18,0.287,2,1896
w01aw,w01iy,3,18,0.287,3,2883
w01aw,w01iy,3,19,0.299,1,627
w01aw,w01iy,3,19,0.299,2,1911
w01aw,w01iy,3,19,0.299,3,2891
w01aw,w01iy,3,20,0.31,1,629
w01aw,w01iy,3,20,0.31,2,1938
w01aw,w01iy,3,20,0.31,3,2908
w01aw,w01iy,3,21,0.322,1,634
w01aw,w01iy,3,21,0.322,2,1994
w01aw,w01iy,3,21,0.322,3,2883
w01aw,w01iy,3,22,0.333,1,634
w01aw,w01iy,3,22,0.333,2,2024
w01aw,w01iy,3,22,0.333,3,2809
w01aw,w01iy,3,23,0.345,1,629
w01aw,w01iy,3,23,0.345,2,2051
w01aw,w01iy,3,23,0.345,3,2793
w01aw,w01iy,3,24,0.356,1,618
w01aw,w01iy,3,24,0.356,2,2081
w01aw,w01iy,3,24,0.356,3,2794
w01aw,w01iy,3,25,0.368,1,600
w01aw,w01iy,3,25,0.368,2,2111
w01aw,w01iy,3,25,0.368,3,2815
w01aw,w01iy,3,26,0.379,1,577
w01aw,w01iy,3,26,0.379,2,2122
w01aw,w01iy,3,26,0.379,3,2806
w01aw,w01iy,3,27,0.391,1,559
w01aw,w01iy,3,27,0.391,2,2133
w01aw,w01iy,3,27,0.391,3,2805
w01aw,w01iy,3,28,0.402,1,527
w01aw,w01iy,3,28,0.402,2,2239
w01aw,w01iy,3,28,0.402,3,2829
w01aw,w01iy,3,29,0.414,1,481
w01aw,w01iy,3,29,0.414,2,2255
w01aw,w01iy,3,29,0.414,3,2878
w01aw,w01iy,3,30,0.425,1,457
w01aw,w01iy,3,30,0.425,2,2199
w01aw,w01iy,3,30,0.425,3,2898
w01aw,w01iy,4,1,0.092,1,453
w01aw,w01iy,4,1,0.092,2,2211
w01aw,w01iy,4,1,0.092,3,2743
w01aw,w01iy,4,2,0.104,1,479
w01aw,w01iy,4,2,0.104,2,2210
w01aw,w01iy,4,2,0.104,3,2753
w01aw,w01iy,4,3,0.115,1,518
w01aw,w01iy,4,3,0.115,2,2232
w01aw,w01iy,4,3,0.115,3,2777
w01aw,w01iy,4,4,0.127,1,539
w01aw,w01iy,4,4,0.127,2,2251
w01aw,w01iy,4,4,0.127,3,2795
w01aw,w01iy,4,5,0.138,1,550
w01aw,w01iy,4,5,0.138,2,2248
w01aw,w01iy,4,5,0.138,3,2807
w01aw,w01iy,4,6,0.15,1,551
w01aw,w01iy,4,6,0.15,2,2257
w01aw,w01iy,4,6,0.15,3,2805
w01aw,w01iy,4,7,0.161,1,543
w01aw,w01iy,4,7,0.161,2,2288
w01aw,w01iy,4,7,0.161,3,2815
w01aw,w01iy,4,8,0.173,1,539
w01aw,w01iy,4,8,0.173,2,2312
w01aw,w01iy,4,8,0.173,3,2826
w01aw,w01iy,4,9,0.184,1,538
w01aw,w01iy,4,9,0.184,2,2308
w01aw,w01iy,4,9,0.184,3,2822
w01aw,w01iy,4,10,0.196,1,536
w01aw,w01iy,4,10,0.196,2,2299
w01aw,w01iy,4,10,0.196,3,2822
w01aw,w01iy,4,11,0.207,1,535
w01aw,w01iy,4,11,0.207,2,2291
w01aw,w01iy,4,11,0.207,3,2828
w01aw,w01iy,4,12,0.219,1,536
w01aw,w01iy,4,12,0.219,2,2289
w01aw,w01iy,4,12,0.219,3,2834
w01aw,w01iy,4,13,0.23,1,537
w01aw,w01iy,4,13,0.23,2,2291
w01aw,w01iy,4,13,0.23,3,2838
w01aw,w01iy,4,14,0.242,1,537
w01aw,w01iy,4,14,0.242,2,2290
w01aw,w01iy,4,14,0.242,3,2845
w01aw,w01iy,4,15,0.253,1,537
w01aw,w01iy,4,15,0.253,2,2285
w01aw,w01iy,4,15,0.253,3,2855
w01aw,w01iy,4,16,0.264,1,537
w01aw,w01iy,4,16,0.264,2,2286
w01aw,w01iy,4,16,0.264,3,2861
w01aw,w01iy,4,17,0.276,1,539
w01aw,w01iy,4,17,0.276,2,2293
w01aw,w01iy,4,17,0.276,3,2869
w01aw,w01iy,4,18,0.287,1,539
w01aw,w01iy,4,18,0.287,2,2297
w01aw,w01iy,4,18,0.287,3,2883
w01aw,w01iy,4,19,0.299,1,538
w01aw,w01iy,4,19,0.299,2,2307
w01aw,w01iy,4,19,0.299,3,2891
w01aw,w01iy,4,20,0.31,1,539
w01aw,w01iy,4,20,0.31,2,2323
w01aw,w01iy,4,20,0.31,3,2908
w01aw,w01iy,4,21,0.322,1,541
w01aw,w01iy,4,21,0.322,2,2361
w01aw,w01iy,4,21,0.322,3,2883
w01aw,w01iy,4,22,0.333,1,541
w01aw,w01iy,4,22,0.333,2,2382
w01aw,w01iy,4,22,0.333,3,2809
w01aw,w01iy,4,23,0.345,1,537
w01aw,w01iy,4,23,0.345,2,2400
w01aw,w01iy,4,23,0.345,3,2793
w01aw,w01iy,4,24,0.356,1,532
w01aw,w01iy,4,24,0.356,2,2425
w01aw,w01iy,4,24,0.356,3,2794
w01aw,w01iy,4,25,0.368,1,523
w01aw,w01iy,4,25,0.368,2,2445
w01aw,w01iy,4,25,0.368,3,2815
w01aw,w01iy,4,26,0.379,1,513
w01aw,w01iy,4,26,0.379,2,2437
w01aw,w01iy,4,26,0.379,3,2806
w01aw,w01iy,4,27,0.391,1,506
w01aw,w01iy,4,27,0.391,2,2415
w01aw,w01iy,4,27,0.391,3,2805
w01aw,w01iy,4,28,0.402,1,491
w01aw,w01iy,4,28,0.402,2,2445
w01aw,w01iy,4,28,0.402,3,2829
w01aw,w01iy,4,29,0.414,1,469
w01aw,w01iy,4,29,0.414,2,2407
w01aw,w01iy,4,29,0.414,3,2878
w01aw,w01iy,4,30,0.425,1,457
