endpoint1,endpoint2,step,time_index,time,formant,frequency
w02aw,w02iy,2,17,0.417,3,2990
w02aw,w02iy,2,18,0.434,1,763
w02aw,w02iy,2,18,0.434,2,1662
w02aw,w02iy,2,18,0.434,3,3016
w02aw,w02iy,2,19,0.452,1,761
w02aw,w02iy,2,19,0.452,2,1729
w02aw,w02iy,2,19,0.452,3,3029
w02aw,w02iy,2,20,0.47,1,746
w02aw,w02iy,2,20,0.47,2,1767
w02aw,w02iy,2,20,0.47,3,3021
w02aw,w02iy,2,21,0.488,1,736
w02aw,w02iy,2,21,0.488,2,1797
w02aw,w02iy,2,21,0.488,3,2942
w02aw,w02iy,2,22,0.506,1,737
w02aw,w02iy,2,22,0.506,2,1880
w02aw,w02iy,2,22,0.506,3,2958
w02aw,w02iy,2,23,0.523,1,737
w02aw,w02iy,2,23,0.523,2,1954
w02aw,w02iy,2,23,0.523,3,2988
w02aw,w02iy,2,24,0.541,1,726
w02aw,w02iy,2,24,0.541,2,1998
w02aw,w02iy,2,24,0.541,3,3007
w02aw,w02iy,2,25,0.559,1,693
w02aw,w02iy,2,25,0.559,2,2026
w02aw,w02iy,2,25,0.559,3,3032
w02aw,w02iy,2,26,0.577,1,648
w02aw,w02iy,2,26,0.577,2,2054
w02aw,w02iy,2,26,0.577,3,3057
w02aw,w02iy,2,27,0.595,1,601
w02aw,w02iy,2,27,0.595,2,2050
w02aw,w02iy,2,27,0.595,3,3044
w02aw,w02iy,2,28,0.612,1,515
w02aw,w02iy,2,28,0.612,2,2004
w02aw,w02iy,2,28,0.612,3,3009
w02aw,w02iy,2,29,0.63,1,436
w02aw,w02iy,2,29,0.63,2,1957
w02aw,w02iy,2,29,0.63,3,3013
w02aw,w02iy,2,30,0.648,1,424
w02aw,w02iy,2,30,0.648,2,1909
w02aw,w02iy,2,30,0.648,3,2963
w02aw,w02iy,3,1,0.132,1,674
w02aw,w02iy,3,1,0.132,2,1460
w02aw,w02iy,3,1,0.132,3,2985
w02aw,w02iy,3,2,0.15,1,698
w02aw,w02iy,3,2,0.15,2,1496
w02aw,w02iy,3,2,0.15,3,3024
w02aw,w02iy,3,3,0.168,1,688
w02aw,w02iy,3,3,0.168,2,1517
w02aw,w02iy,3,3,0.168,3,3022
w02aw,w02iy,3,4,0.186,1,687
w02aw,w02iy,3,4,0.186,2,1511
w02aw,w02iy,3,4,0.186,3,2969
w02aw,w02iy,3,5,0.203,1,693
w02aw,w02iy,3,5,0.203,2,1518
w02aw,w02iy,3,5,0.203,3,2978
w02aw,w02iy,3,6,0.221,1,691
w02aw,w02iy,3,6,0.221,2,1519
w02aw,w02iy,3,6,0.221,3,2981
w02aw,w02iy,3,7,0.239,1,689
w02aw,w02iy,3,7,0.239,2,1516
w02aw,w02iy,3,7,0.239,3,2986
w02aw,w02iy,3,8,0.257,1,691
w02aw,w02iy,3,8,0.257,2,1520
w02aw,w02iy,3,8,0.257,3,2985
w02aw,w02iy,3,9,0.274,1,693
w02aw,w02iy,3,9,0.274,2,1531
w02aw,w02iy,3,9,0.274,3,2982
w02aw,w02iy,3,10,0.292,1,696
w02aw,w02iy,3,10,0.292,2,1547
w02aw,w02iy,3,10,0.292,3,2993
w02aw,w02iy,3,11,0.31,1,697
w02aw,w02iy,3,11,0.31,2,1559
w02aw,w02iy,3,11,0.31,3,2976
w02aw,w02iy,3,12,0.328,1,700
w02aw,w02iy,3,12,0.328,2,1584
w02aw,w02iy,3,12,0.328,3,2991
w02aw,w02iy,3,13,0.346,1,703
w02aw,w02iy,3,13,0.346,2,1610
w02aw,w02iy,3,13,0.346,3,3016
w02aw,w02iy,3,14,0.363,1,705
w02aw,w02iy,3,14,0.363,2,1640
w02aw,w02iy,3,14,0.363,3,3038
w02aw,w02iy,3,15,0.381,1,707
w02aw,w02iy,3,15,0.381,2,1658
w02aw,w02iy,3,15,0.381,3,3031
w02aw,w02iy,3,16,0.399,1,706
w02aw,w02iy,3,16,0.399,2,1679
w02aw,w02iy,3,16,0.399,3,3039
w02aw,w02iy,3,17,0.417,1,709
w02aw,w02iy,3,17,0.417,2,1713
w02aw,w02iy,3,17,0.417,3,3051
w02aw,w02iy,3,18,0.434,1,717
w02aw,w02iy,3,18,0.434,2,1782
w02aw,w02iy,3,18,0.434,3,3075
w02aw,w02iy,3,19,0.452,1,715
w02aw,w02iy,3,19,0.452,2,1844
w02aw,w02iy,3,19,0.452,3,3087
w02aw,w02iy,3,20,0.47,1,703
w02aw,w02iy,3,20,0.47,2,1877
w02aw,w02iy,3,20,0.47,3,3080
w02aw,w02iy,3,21,0.488,1,695
w02aw,w02iy,3,21,0.488,2,1904
w02aw,w02iy,3,21,0.488,3,3011
w02aw,w02iy,3,22,0.506,1,696
w02aw,w02iy,3,22,0.506,2,1981
w02aw,w02iy,3,22,0.506,3,3021
w02aw,w02iy,3,23,0.523,1,696
w02aw,w02iy,3,23,0.523,2,2049
w02aw,w02iy,3,23,0.523,3,3038
w02aw,w02iy,3,24,0.541,1,687
w02aw,w02iy,3,24,0.541,2,2089
w02aw,w02iy,3,24,0.541,3,3042
w02aw,w02iy,3,25,0.559,1,660
w02aw,w02iy,3,25,0.559,2,2101
w02aw,w02iy,3,25,0.559,3,3042
w02aw,w02iy,3,26,0.577,1,621
w02aw,w02iy,3,26,0.577,2,2106
w02aw,w02iy,3,26,0.577,3,3052
w02aw,w02iy,3,27,0.595,1,579
w02aw,w02iy,3,27,0.595,2,2063
w02aw,w02iy,3,27,0.595,3,3033
w02aw,w02iy,3,28,0.612,1,502
w02aw,w02iy,3,28,0.612,2,1990
w02aw,w02iy,3,28,0.612,3,3004
w02aw,w02iy,3,29,0.63,1,427
w02aw,w02iy,3,29,0.63,2,1975
w02aw,w02iy,3,29,0.63,3,3020
w02aw,w02iy,3,30,0.648,1,426
w02aw,w02iy,3,30,0.648,2,1943
w02aw,w02iy,3,30,0.648,3,3030
w02aw,w02iy,4,1,0.132,1,630
w02aw,w02iy,4,1,0.132,2,1609
w02aw,w02iy,4,1,0.132,3,3060
w02aw,w02iy,4,2,0.15,1,658
w02aw,w02iy,4,2,0.15,2,1642
w02aw,w02iy,4,2,0.15,3,3102
w02aw,w02iy,4,3,0.168,1,654
w02aw,w02iy,4,3,0.168,2,1662
w02aw,w02iy,4,3,0.168,3,3102
w02aw,w02iy,4,4,0.186,1,652
w02aw,w02iy,4,4,0.186,2,1656
w02aw,w02iy,4,4,0.186,3,3052
w02aw,w02iy,4,5,0.203,1,656
w02aw,w02iy,4,5,0.203,2,1668
w02aw,w02iy,4,5,0.203,3,3064
