endpoint1,endpoint2,step,time_index,time,f1,f2,f3
w02aw,w02iy,5,2,0.15,618,1802,3183
w02aw,w02iy,5,3,0.168,620,1820,3183
w02aw,w02iy,5,4,0.186,618,1813,3139
w02aw,w02iy,5,5,0.203,620,1830,3153
w02aw,w02iy,5,6,0.221,618,1833,3171
w02aw,w02iy,5,7,0.239,616,1827,3172
w02aw,w02iy,5,8,0.257,617,1827,3162
w02aw,w02iy,5,9,0.274,617,1833,3152
w02aw,w02iy,5,10,0.292,619,1845,3158
w02aw,w02iy,5,11,0.31,618,1855,3145
w02aw,w02iy,5,12,0.328,620,1877,3159
w02aw,w02iy,5,13,0.346,622,1898,3180
w02aw,w02iy,5,14,0.363,623,1923,3192
w02aw,w02iy,5,15,0.381,624,1941,3183
w02aw,w02iy,5,16,0.399,623,1960,3182
w02aw,w02iy,5,17,0.417,624,1991,3177
w02aw,w02iy,5,18,0.434,629,2050,3199
w02aw,w02iy,5,19,0.452,628,2096,3208
w02aw,w02iy,5,20,0.47,620,2119,3202
w02aw,w02iy,5,21,0.488,615,2138,3155
w02aw,w02iy,5,22,0.506,617,2198,3153
w02aw,w02iy,5,23,0.523,619,2253,3142
w02aw,w02iy,5,24,0.541,614,2282,3112
w02aw,w02iy,5,25,0.559,596,2260,3063
w02aw,w02iy,5,26,0.577,569,2213,3040
w02aw,w02iy,5,27,0.595,536,2091,3011
w02aw,w02iy,5,28,0.612,475,1963,2993
w02aw,w02iy,5,29,0.63,409,2010,3034
w02aw,w02iy,5,30,0.648,431,2012,3170
w02aw,w02iy,6,1,0.132,548,1950,3218
w02aw,w02iy,6,2,0.15,580,1977,3266
w02aw,w02iy,6,3,0.168,587,1993,3268
w02aw,w02iy,6,4,0.186,585,1985,3228
w02aw,w02iy,6,5,0.203,585,2009,3246
w02aw,w02iy,6,6,0.221,583,2012,3271
w02aw,w02iy,6,7,0.239,581,2004,3270
w02aw,w02iy,6,8,0.257,581,2001,3256
w02aw,w02iy,6,9,0.274,581,2005,3242
w02aw,w02iy,6,10,0.292,582,2015,3244
w02aw,w02iy,6,11,0.31,580,2023,3235
w02aw,w02iy,6,12,0.328,583,2043,3247
w02aw,w02iy,6,13,0.346,583,2061,3265
w02aw,w02iy,6,14,0.363,584,2082,3273
w02aw,w02iy,6,15,0.381,585,2099,3263
w02aw,w02iy,6,16,0.399,583,2118,3257
w02aw,w02iy,6,17,0.417,584,2147,3243
w02aw,w02iy,6,18,0.434,587,2198,3263
w02aw,w02iy,6,19,0.452,587,2235,3271
w02aw,w02iy,6,20,0.47,580,2252,3265
w02aw,w02iy,6,21,0.488,577,2265,3230
w02aw,w02iy,6,22,0.506,580,2316,3221
w02aw,w02iy,6,23,0.523,582,2363,3195
w02aw,w02iy,6,24,0.541,579,2386,3148
w02aw,w02iy,6,25,0.559,566,2344,3074
w02aw,w02iy,6,26,0.577,544,2270,3034
w02aw,w02iy,6,27,0.595,515,2106,3000
w02aw,w02iy,6,28,0.612,462,1949,2988
w02aw,w02iy,6,29,0.63,400,2028,3041
w02aw,w02iy,6,30,0.648,434,2047,3243
w02aw,w02iy,7,1,0.132,508,2146,3301
w02aw,w02iy,7,2,0.15,543,2169,3351
w02aw,w02iy,7,3,0.168,556,2182,3355
w02aw,w02iy,7,4,0.186,553,2173,3321
w02aw,w02iy,7,5,0.203,551,2204,3342
w02aw,w02iy,7,6,0.221,548,2210,3375
w02aw,w02iy,7,7,0.239,546,2199,3372
w02aw,w02iy,7,8,0.257,546,2192,3353
w02aw,w02iy,7,9,0.274,545,2193,3334
w02aw,w02iy,7,10,0.292,546,2200,3333
w02aw,w02iy,7,11,0.31,544,2206,3327
w02aw,w02iy,7,12,0.328,546,2223,3338
w02aw,w02iy,7,13,0.346,546,2237,3354
w02aw,w02iy,7,14,0.363,546,2255,3356
w02aw,w02iy,7,15,0.381,547,2271,3345
w02aw,w02iy,7,16,0.399,545,2288,3333
w02aw,w02iy,7,17,0.417,545,2315,3311
w02aw,w02iy,7,18,0.434,547,2358,3328
w02aw,w02iy,7,19,0.452,547,2384,3336
w02aw,w02iy,7,20,0.47,542,2393,3329
w02aw,w02iy,7,21,0.488,540,2401,3308
w02aw,w02iy,7,22,0.506,543,2441,3291
w02aw,w02iy,7,23,0.523,546,2479,3250
w02aw,w02iy,7,24,0.541,545,2496,3184
w02aw,w02iy,7,25,0.559,536,2432,3084
w02aw,w02iy,7,26,0.577,519,2327,3029
w02aw,w02iy,7,27,0.595,494,2120,2990
w02aw,w02iy,7,28,0.612,449,1936,2983
w02aw,w02iy,7,29,0.63,391,2046,3048
w02aw,w02iy,7,30,0.648,436,2084,3319
w02aw,w02iy,8,1,0.132,470,2362,3386
w02aw,w02iy,8,2,0.15,507,2380,3440
w02aw,w02iy,8,3,0.168,524,2390,3445
w02aw,w02iy,8,4,0.186,522,2379,3416
w02aw,w02iy,8,5,0.203,518,2420,3441
w02aw,w02iy,8,6,0.221,515,2427,3484
w02aw,w02iy,8,7,0.239,513,2414,3478
w02aw,w02iy,8,8,0.257,512,2403,3454
w02aw,w02iy,8,9,0.274,511,2400,3430
w02aw,w02iy,8,10,0.292,511,2403,3425
w02aw,w02iy,8,11,0.31,508,2407,3423
w02aw,w02iy,8,12,0.328,510,2421,3433
w02aw,w02iy,8,13,0.346,509,2430,3446
w02aw,w02iy,8,14,0.363,509,2443,3442
w02aw,w02iy,8,15,0.381,509,2458,3430
w02aw,w02iy,8,16,0.399,507,2474,3413
w02aw,w02iy,8,17,0.417,507,2498,3380
w02aw,w02iy,8,18,0.434,508,2530,3395
w02aw,w02iy,8,19,0.452,508,2544,3402
w02aw,w02iy,8,20,0.47,505,2544,3396
w02aw,w02iy,8,21,0.488,505,2546,3387
w02aw,w02iy,8,22,0.506,507,2573,3363
w02aw,w02iy,8,23,0.523,511,2602,3305
w02aw,w02iy,8,24,0.541,511,2611,3221
w02aw,w02iy,8,25,0.559,506,2523,3095
w02aw,w02iy,8,26,0.577,495,2387,3023
w02aw,w02iy,8,27,0.595,473,2134,2979
w02aw,w02iy,8,28,0.612,437,1923,2978
w02aw,w02iy,8,29,0.63,382,2065,3055
w02aw,w02iy,8,30,0.648,439,2120,3396
w02aw,w02iy,9,1,0.132,433,2603,3474
w02aw,w02iy,9,2,0.15,472,2615,3532
w02aw,w02iy,9,3,0.168,494,2619,3538
w02aw,w02iy,9,4,0.186,492,2608,3516
w02aw,w02iy,9,5,0.203,485,2660,3545
w02aw,w02iy,9,6,0.221,483,2669,3597
w02aw,w02iy,9,7,0.239,481,2652,3588
w02aw,w02iy,9,8,0.257,479,2636,3559
w02aw,w02iy,9,9,0.274,477,2628,3530
w02aw,w02iy,9,10,0.292,477,2627,3521
w02aw,w02iy,9,11,0.31,474,2628,3522
w02aw,w02iy,9,12,0.328,475,2638,3531
w02aw,w02iy,9,13,0.346,474,2641,3541
w02aw,w02iy,9,14,0.363,474,2649,3530
w02aw,w02iy,9,15,0.381,473,2662,3517
w02aw,w02iy,9,16,0.399,471,2677,3494
w02aw,w02iy,9,17,0.417,470,2697,3451
w02aw,w02iy,9,18,0.434,470,2717,3464
w02aw,w02iy,9,19,0.452,471,2716,3469
w02aw,w02iy,9,20,0.47,469,2706,3464
w02aw,w02iy,9,21,0.488,470,2701,3470
w02aw,w02iy,9,22,0.506,473,2714,3438
w02aw,w02iy,9,23,0.523,477,2732,3362
w02aw,w02iy,9,24,0.541,479,2732,3259
w02aw,w02iy,9,25,0.559,478,2618,3106
w02aw,w02iy,9,26,0.577,471,2448,3017
w02aw,w02iy,9,27,0.595,453,2149,2969
w02aw,w02iy,9,28,0.612,424,1910,2972
w02aw,w02iy,9,29,0.63,373,2083,3062
w02aw,w02iy,9,30,0.648,441,2158,3477
w02aw,w02iy,10,1,0.132,398,2873,3565
w02aw,w02iy,10,2,0.15,438,2876,3627
w02aw,w02iy,10,3,0.168,464,2875,3635
w02aw,w02iy,10,4,0.186,462,2861,3619
w02aw,w02iy,10,5,0.203,454,2927,3652
w02aw,w02iy,10,6,0.221,451,2939,3715
w02aw,w02iy,10,7,0.239,449,2917,3703
w02aw,w02iy,10,8,0.257,447,2896,3668
w02aw,w02iy,10,9,0.274,445,2881,3634
w02aw,w02iy,10,10,0.292,444,2876,3620
w02aw,w02iy,10,11,0.31,440,2873,3625
w02aw,w02iy,10,12,0.328,441,2878,3633
w02aw,w02iy,10,13,0.346,440,2874,3639
w02aw,w02iy,10,14,0.363,439,2875,3622
w02aw,w02iy,10,15,0.381,439,2887,3608
w02aw,w02iy,10,16,0.399,436,2899,3578
w02aw,w02iy,10,17,0.417,434,2915,3524
w02aw,w02iy,10,18,0.434,433,2920,3535
w02aw,w02iy,10,19,0.452,434,2902,3539
w02aw,w02iy,10,20,0.47,434,2881,3533
w02aw,w02iy,10,21,0.488,436,2866,3554
w02aw,w02iy,10,22,0.506,439,2864,3514
w02aw,w02iy,10,23,0.523,444,2869,3421
w02aw,w02iy,10,24,0.541,447,2859,3297
w02aw,w02iy,10,25,0.559,450,2718,3116
w02aw,w02iy,10,26,0.577,448,2511,3012
w02aw,w02iy,10,27,0.595,434,2164,2958
w02aw,w02iy,10,28,0.612,412,1897,2967
w02aw,w02iy,10,29,0.63,364,2102,3070
w02aw,w02iy,10,30,0.648,444,2196,3559
